Timestamp,class,wmc,cbo,loc,lcom,rfc,dit,noc,totalMethodsQty,publicMethodsQty,staticMethodsQty,totalFieldsQty,nosi,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,checkstyle_errors,pmd_violations,design_smells,Phase,Refactoring
2026-02-14 14:57:02,org.apache.roller.weblogger.ui.core.filters.InitFilterTest,5,1,39,0,3,1,0,5,5,0,1,0,0,0,0,0,0,21,0,21,0,21,0,0,0,0,44,14,0,0,before,test
2026-02-14 14:57:12,org.apache.roller.weblogger.pojos.WeblogEntry,159,26,570,4130,151,1,0,93,91,0,29,20,75,9,22,6,4,24,12,124,8,70,5,0,1,0,361,448,10,0,before,extract_method_1
2026-02-14 14:57:41,org.apache.roller.weblogger.pojos.WeblogEntry,159,26,570,4130,151,1,0,93,91,0,29,20,75,9,22,6,4,24,12,124,8,70,5,0,1,0,361,448,10,0,after,extract_method_1
2026-02-14 15:02:44,org.apache.roller.weblogger.pojos.WeblogEntry,159,26,570,4130,151,1,0,93,91,0,29,20,75,9,22,6,4,24,12,124,8,70,5,0,1,0,361,448,10,0,before,test_analysis_plots
2026-02-14 15:03:03,org.apache.roller.weblogger.pojos.WeblogEntry,159,26,570,4130,151,1,0,93,91,0,29,20,75,9,22,6,4,24,12,124,8,70,5,0,1,0,361,448,10,0,after,test_analysis_plots
2026-02-14 15:03:48,org.apache.roller.weblogger.pojos.WeblogEntry,159,26,570,4130,151,1,0,93,91,0,29,20,75,9,22,6,4,24,12,124,8,70,5,0,1,0,361,448,10,0,after,test_analysis_plots
2026-02-14 17:41:06,org.apache.roller.weblogger.business.jpa.JPAWeblogEntryManagerImpl,155,32,666,300,161,1,0,49,44,2,9,28,34,20,52,6,7,60,87,132,31,109,3,0,0,1,252,376,19,0,before,extract_comment_manager
2026-02-14 17:42:06,org.apache.roller.weblogger.business.jpa.JPAWeblogEntryManagerImpl,155,32,666,300,161,1,0,49,44,2,9,28,34,20,52,6,7,60,87,132,31,109,3,0,0,1,252,376,19,0,before,R1.1
2026-02-14 17:43:42,org.apache.roller.weblogger.business.jpa.JPAWeblogEntryManagerImpl,155,32,666,300,161,1,0,49,44,2,9,28,34,20,52,6,7,60,87,132,31,109,3,0,0,1,252,376,19,0,before,"R1,1"
2026-02-14 17:51:37,org.apache.roller.weblogger.business.jpa.JPAWeblogEntryManagerImpl,155,32,666,300,161,1,0,49,44,2,9,28,34,20,52,6,7,60,87,132,31,109,3,0,0,1,252,376,19,0,after,R1.1
2026-02-14 17:53:43,org.apache.roller.weblogger.pojos.WeblogEntry,159,26,570,4130,151,1,0,93,91,0,29,20,75,9,22,6,4,24,12,124,8,70,5,0,1,0,361,448,10,0,before,R1.2
2026-02-14 18:56:41,org.apache.roller.weblogger.business.CategoryManager,8,2,10,28,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,16,0,0,before,test_snapshot
2026-02-14 18:56:41,org.apache.roller.weblogger.business.Weblogger,29,21,31,406,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,72,0,0,before,test_snapshot
