Timestamp,Total_Classes,Total_LOC,God_Classes,Max_WMC,Avg_WMC,Median_WMC,Max_CBO,Avg_CBO,Median_CBO,Avg_LCOM,Avg_RFC,Avg_DIT,Classes_Low_WMC,Classes_Med_WMC,Classes_High_WMC,Classes_Critical_WMC,Checkstyle_Errors,PMD_Violations,Architecture_Smells,Design_Smells,Implementation_Smells,Phase,Refactoring
2026-02-14 14:57:02,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,before,test
2026-02-14 14:57:11,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,before,extract_method_1
2026-02-14 14:57:40,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,after,extract_method_1
2026-02-14 15:02:43,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,before,test_analysis_plots
2026-02-14 15:03:03,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,after,test_analysis_plots
2026-02-14 15:03:48,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,after,test_analysis_plots
2026-02-14 17:41:06,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,before,extract_comment_manager
2026-02-14 17:42:05,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,before,R1.1
2026-02-14 17:43:42,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,before,"R1,1"
2026-02-14 17:51:36,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,after,R1.1
2026-02-14 17:53:43,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,before,R1.2
2026-02-14 18:55:51,602,45955,23,184,17.48,10.0,48,6.9,5.0,64.19,18.4,1.52,308,196,56,42,30961,1736,0,0,0,snapshot,test_snapshot
2026-02-14 18:56:41,603,46022,23,159,17.49,10.0,50,6.92,5.0,64.85,18.38,1.52,309,195,57,42,30965,1725,0,0,0,before,test_snapshot
2026-02-14 18:56:42,602,45955,23,184,17.48,10.0,48,6.9,5.0,64.19,18.4,1.52,308,196,56,42,30961,1736,0,0,0,after,test_snapshot
2026-02-14 19:00:45,602,45955,23,184,17.48,10.0,48,6.9,5.0,64.19,18.4,1.52,308,196,56,42,30961,1736,0,0,0,snapshot,test_auto
2026-02-14 19:04:16,598,45868,23,197,17.54,10.0,46,6.91,5.0,64.63,18.42,1.53,307,193,56,42,30902,1735,0,0,0,snapshot,inital
2026-02-14 19:07:17,600,45916,23,184,17.51,10.0,48,6.92,5.0,64.45,18.41,1.53,308,194,56,42,30939,1735,0,0,0,snapshot,R1.1
2026-02-14 19:08:11,598,45868,23,197,17.54,10.0,46,6.91,5.0,64.63,18.42,1.53,307,193,56,42,30902,1735,0,0,0,before,R1.1
2026-02-14 19:08:12,600,45916,23,184,17.51,10.0,48,6.92,5.0,64.45,18.41,1.53,308,194,56,42,30939,1735,0,0,0,after,R1.1
2026-02-14 19:27:49,602,45955,23,184,17.48,10.0,48,6.9,5.0,64.19,18.4,1.52,308,196,56,42,30961,1736,0,0,0,snapshot,R1.2
2026-02-14 19:28:46,602,45955,23,184,17.48,10.0,48,6.9,5.0,64.19,18.4,1.52,308,196,56,42,30962,1736,0,0,0,snapshot,R2.1
2026-02-14 19:29:32,602,45960,23,184,17.48,10.0,48,6.9,5.0,64.19,18.4,1.52,308,196,56,42,30963,1736,0,0,0,snapshot,R2.2
2026-02-14 19:33:23,603,45971,23,171,17.45,10.0,49,6.91,5.0,64.14,18.39,1.52,308,197,56,42,0,1736,0,0,0,snapshot,R3.1
2026-02-14 19:41:50,603,45971,23,171,17.45,10.0,49,6.91,5.0,64.14,18.39,1.52,308,197,56,42,0,1736,0,0,0,snapshot,R3.1
2026-02-14 19:45:56,603,45971,23,171,17.45,10.0,49,6.91,5.0,64.14,18.39,1.52,308,197,56,42,0,1736,0,0,0,snapshot,R3.1
2026-02-14 19:48:19,603,45971,23,171,17.45,10.0,49,6.91,5.0,64.14,18.39,1.52,308,197,56,42,0,1736,0,0,0,snapshot,R3.1
2026-02-14 19:49:37,603,45971,23,171,17.45,10.0,49,6.91,5.0,64.14,18.39,1.52,308,197,56,42,30974,1736,0,0,0,snapshot,R3.1
2026-02-14 19:52:55,604,46001,23,171,17.43,10.0,50,6.92,5.0,64.03,18.37,1.52,308,198,56,42,31005,1736,0,0,0,snapshot,R3.2
2026-02-14 19:56:23,605,46020,23,171,17.42,10.0,50,6.91,5.0,64.05,18.35,1.52,309,198,56,42,31011,1736,0,0,0,snapshot,R4.1
2026-02-14 19:59:29,606,46028,23,171,17.4,10.0,50,6.9,5.0,63.97,18.32,1.52,310,198,56,42,31019,1736,0,0,0,snapshot,R4.2
2026-02-14 20:03:35,607,46102,23,171,17.42,10.0,50,6.87,5.0,64.61,18.33,1.51,311,198,56,42,31087,1746,0,0,0,snapshot,R5.1
2026-02-14 20:07:40,607,46111,23,171,17.42,10.0,50,6.87,5.0,65.0,18.32,1.5,312,197,56,42,31084,1744,0,0,0,snapshot,R5.2
2026-02-14 20:13:13,607,46093,24,171,17.41,10.0,50,6.89,5.0,62.8,18.32,1.5,312,197,56,42,31061,1752,0,0,0,snapshot,R6.1
2026-02-14 20:54:39,607,46118,26,171,17.41,10.0,50,6.91,5.0,61.0,18.36,1.5,312,197,54,44,31034,1754,0,0,0,snapshot,R6.2
2026-02-14 21:06:46,606,46114,26,171,17.44,10.0,50,6.92,5.0,61.1,18.39,1.5,311,197,54,44,31029,1754,0,0,0,snapshot,R7.1
2026-02-14 21:19:03,605,46113,26,171,17.47,10.0,50,6.93,5.0,61.2,18.43,1.5,310,197,54,44,31028,1754,0,0,0,snapshot,R7.2
