file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\RemoveEntryOperation.java,org.apache.roller.weblogger.business.search.lucene.RemoveEntryOperation,class,10,12,2,10,5,3,0,9,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,0,0,0,33,1,0,1,2,0,2,0,7,0,6,2,0,0,0,45,1,2
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\SearchOperation.java,org.apache.roller.weblogger.business.search.lucene.SearchOperation,class,16,18,2,16,17,3,0,14,33,0.8272728,0.0,0.0,11,0,11,0,0,0,11,0,0,0,10,3,0,10,0,0,2,0,3,77,5,0,4,1,0,1,2,24,0,17,2,0,0,0,79,1,1
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\SearchResultList.java,org.apache.roller.weblogger.business.search.SearchResultList,class,1,5,4,1,5,1,0,0,2,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,0,0,4,0,0,0,24,4,0,0,0,0,0,0,4,0,4,0,0,0,0,12,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\pojos\WeblogEntrySearchCriteria.java,org.apache.roller.weblogger.pojos.WeblogEntrySearchCriteria$SortOrder,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\ui\rendering\model\SearchResultsFeedModel.java,org.apache.roller.weblogger.ui.rendering.model.SearchResultsFeedModel,class,16,17,1,16,22,1,0,27,53,0.82857144,0.0,0.0,14,0,14,0,0,0,14,0,0,0,10,0,0,10,0,0,0,0,6,91,15,0,5,1,3,9,3,28,2,16,1,0,0,0,73,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\pojos\WeblogEntrySearchCriteria.java,org.apache.roller.weblogger.pojos.WeblogEntrySearchCriteria$SortBy,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\ui\rendering\model\SearchResultsModel.java,org.apache.roller.weblogger.ui.rendering.model.SearchResultsModel,class,16,17,1,16,26,2,0,29,63,0.84000003,0.0,0.0,15,0,14,1,0,0,14,0,0,0,10,1,1,8,0,1,1,0,5,97,15,1,7,1,4,6,4,27,1,16,3,0,0,0,84,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\RemoveWebsiteIndexOperation.java,org.apache.roller.weblogger.business.search.lucene.RemoveWebsiteIndexOperation,class,11,13,2,11,8,3,0,14,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,0,0,1,44,1,0,4,2,1,5,0,11,3,9,3,0,0,0,62,1,3
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\ReIndexEntryOperation.java,org.apache.roller.weblogger.business.search.lucene.ReIndexEntryOperation,class,10,11,1,10,6,3,0,12,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,0,0,0,37,1,0,2,2,0,2,0,7,0,6,2,0,0,0,53,1,2
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\pojos\WeblogEntrySearchCriteria.java,org.apache.roller.weblogger.pojos.WeblogEntrySearchCriteria,class,5,18,13,5,26,1,0,0,299,0.92307687,0.0,0.0,26,0,26,0,0,0,26,0,0,0,13,0,0,13,0,0,0,0,0,95,13,0,0,0,0,0,2,17,0,13,0,0,2,0,49,1,0
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\RebuildWebsiteIndexOperation.java,org.apache.roller.weblogger.business.search.lucene.RebuildWebsiteIndexOperation,class,14,16,2,14,11,3,0,25,0,0.16666667,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,0,0,3,70,1,1,6,2,1,11,0,14,6,12,3,0,0,0,68,1,8
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\business\search\lucene\LuceneIndexManager.java,org.apache.roller.weblogger.business.search.lucene.LuceneIndexManager,class,34,46,12,34,65,1,0,59,98,0.805,0.0,0.0,25,4,16,7,1,1,18,0,1,2,8,1,0,8,0,0,5,0,16,280,14,2,7,14,1,28,3,45,11,34,4,0,0,0,209,1,23
d:\SoftwareEngineering\roller-master\roller-master\app\src\main\java\org\apache\roller\weblogger\pojos\CommentSearchCriteria.java,org.apache.roller.weblogger.pojos.CommentSearchCriteria,class,3,8,5,3,18,1,0,0,135,0.8888889,0.0,0.0,18,0,18,0,0,0,18,0,0,0,9,0,0,9,0,0,0,0,0,65,9,0,0,0,0,0,2,12,0,9,0,0,0,0,29,1,0
