Project,Package,Class,Method,Smell,Description,File
project-1-team-45-master,org.apache.roller.planet.business,EntryBasicTests,testEntryCRUD,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\EntryBasicTests.java
project-1-team-45-master,org.apache.roller.planet.business,EntryBasicTests,testEntryCRUD,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.planet.business.PlanetManager.saveEntry; org.apache.roller.planet.pojos.Subscription.getId; org.apache.roller.planet.pojos.SubscriptionEntry.setPubTime; org.apache.roller.planet.pojos.SubscriptionEntry.getTitle; org.apache.roller.weblogger.business.Weblogger.getPlanetManager; org.apache.roller.planet.business.PlanetManager.getEntryById; org.apache.roller.planet.business.PlanetManager.deleteEntry; org.apache.roller.planet.business.PlanetManager.getSubscriptionById; org.apache.roller.planet.pojos.SubscriptionEntry.setSubscription; org.apache.roller.planet.pojos.SubscriptionEntry.getId; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.planet.pojos.SubscriptionEntry.getPermalink; org.apache.roller.planet.pojos.SubscriptionEntry.setPermalink; org.apache.roller.planet.pojos.SubscriptionEntry.setTitle,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\EntryBasicTests.java
project-1-team-45-master,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\EntryFunctionalTests.java
project-1-team-45-master,org.apache.roller.planet.business,EntryFunctionalTests,testEntryLookups,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.planet.business.PlanetManager.getEntries; org.apache.roller.planet.business.PlanetManager.getSubscriptionById; org.apache.roller.planet.pojos.PlanetGroup.getId; org.apache.roller.planet.pojos.SubscriptionEntry.getId; org.apache.roller.planet.pojos.Subscription.getId; org.apache.roller.planet.business.PlanetManager.getGroupById; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.planet.pojos.SubscriptionEntry.getPermalink; org.apache.roller.planet.business.PlanetManager.getEntries; org.apache.roller.planet.pojos.Subscription.getEntries; org.apache.roller.weblogger.business.Weblogger.getPlanetManager; org.apache.roller.planet.business.PlanetManager.getEntryById,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\EntryFunctionalTests.java
project-1-team-45-master,org.apache.roller.planet.business,EntryFunctionalTests,testDeleteEntries,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\EntryFunctionalTests.java
project-1-team-45-master,org.apache.roller.planet.business,EntryFunctionalTests,testDeleteEntries,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.planet.business.PlanetManager.getSubscriptionById; org.apache.roller.planet.pojos.Subscription.getId; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.planet.business.PlanetManager.deleteEntries; org.apache.roller.planet.pojos.Subscription.getEntries; org.apache.roller.weblogger.business.Weblogger.getPlanetManager,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\EntryFunctionalTests.java
project-1-team-45-master,org.apache.roller.planet.business,GroupBasicTests,testGroupCRUD,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\GroupBasicTests.java
project-1-team-45-master,org.apache.roller.planet.business,GroupBasicTests,testGroupCRUD,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.planet.pojos.PlanetGroup.getHandle; org.apache.roller.planet.business.PlanetManager.getGroup; org.apache.roller.planet.pojos.PlanetGroup.getPlanet; org.apache.roller.planet.pojos.PlanetGroup.setDescription; org.apache.roller.planet.business.PlanetManager.saveGroup; org.apache.roller.planet.pojos.PlanetGroup.getId; org.apache.roller.planet.business.PlanetManager.getGroupById; org.apache.roller.planet.pojos.PlanetGroup.setPlanet; org.apache.roller.weblogger.business.Weblogger.getPlanetManager; org.apache.roller.planet.pojos.PlanetGroup.setHandle; org.apache.roller.planet.pojos.PlanetGroup.setTitle; org.apache.roller.planet.pojos.Planet.getId; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.planet.pojos.PlanetGroup.getTitle; org.apache.roller.planet.business.PlanetManager.deleteGroup,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\GroupBasicTests.java
project-1-team-45-master,org.apache.roller.planet.business,GroupFunctionalTests,testGroupLookups,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\GroupFunctionalTests.java
project-1-team-45-master,org.apache.roller.planet.business,GroupFunctionalTests,testGroupLookups,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: org.apache.roller.planet.pojos.PlanetGroup.getHandle; org.apache.roller.planet.pojos.Planet.getId; org.apache.roller.planet.business.PlanetManager.getGroup; org.apache.roller.planet.pojos.PlanetGroup.getId; org.apache.roller.planet.business.PlanetManager.getGroupById; org.apache.roller.planet.business.PlanetManager.getWebloggerById; org.apache.roller.weblogger.business.WebloggerFactory.getWeblogger; org.apache.roller.planet.pojos.Planet.getGroups; org.apache.roller.weblogger.business.Weblogger.getPlanetManager,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\test\java\org\apache\roller\planet\business\GroupFunctionalTests.java
