Project,Package,Class,Smell,Description,File
project-1-team-45-master,org.apache.roller.weblogger.business,FileContentManagerImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\FileContentManagerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business,WeblogEntryManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WeblogEntryManager.java
project-1-team-45-master,org.apache.roller.weblogger.business,Weblogger,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\Weblogger.java
project-1-team-45-master,org.apache.roller.weblogger.business,WebloggerFactory,Law of Demeter violation,The tool detected the smell in this method (bootstrap) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.WebloggerProvider.getWeblogger; org.apache.roller.weblogger.business.Weblogger.getVersion,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WebloggerFactory.java
project-1-team-45-master,org.apache.roller.weblogger.business,WebloggerFactory,Law of Demeter violation,The tool detected the smell in this method (bootstrap) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.Weblogger.getRevision; org.apache.roller.weblogger.business.WebloggerProvider.getWeblogger,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WebloggerFactory.java
project-1-team-45-master,org.apache.roller.weblogger.business,WebloggerImpl,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 24,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WebloggerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business,WebloggerImpl,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.WebloggerImpl.getPropertiesManager; org.apache.roller.weblogger.business.PropertiesManager.initialize,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WebloggerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business,WebloggerImpl,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.WebloggerImpl.getThemeManager; org.apache.roller.weblogger.business.themes.ThemeManager.initialize,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WebloggerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business,WebloggerImpl,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.runnable.ThreadManager.initialize; org.apache.roller.weblogger.business.WebloggerImpl.getThreadManager,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WebloggerImpl.java
project-1-team-45-master,org.apache.roller.weblogger.business,WebloggerImpl,Law of Demeter violation,The tool detected the smell in this method (initialize) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.roller.weblogger.business.WebloggerImpl.getIndexManager; org.apache.roller.weblogger.business.search.IndexManager.initialize,C:\Users\Abhishek\IIITH\IITH\SEV-2\ASSIGNMENT-1\project-1-team-45-master\app\src\main\java\org\apache\roller\weblogger\business\WebloggerImpl.java
